ts_code,symbol,name,area,industry
000153.SZ,000153,丰原药业,安徽,化学制药
000155.SZ,000155,川能动力,四川,新型电力
000156.SZ,000156,华数传媒,浙江,影视音像
000157.SZ,000157,中联重科,湖南,工程机械
000158.SZ,000158,常山北明,河北,软件服务
000159.SZ,000159,国际实业,新疆,石油贸易
000166.SZ,000166,申万宏源,新疆,证券
000301.SZ,000301,东方盛虹,江苏,化纤
000333.SZ,000333,美的集团,广东,家用电器
000338.SZ,000338,潍柴动力,山东,汽车配件
000400.SZ,000400,许继电气,河南,电气设备
000401.SZ,000401,金隅冀东,河北,水泥
000402.SZ,000402,金融街,北京,全国地产
000403.SZ,000403,派林生物,山西,生物制药
000404.SZ,000404,长虹华意,江西,家用电器
000407.SZ,000407,胜利股份,山东,供气供热
000408.SZ,000408,藏格矿业,青海,农药化肥
000409.SZ,000409,云鼎科技,山东,软件服务
000410.SZ,000410,沈阳机床,辽宁,机床制造
000411.SZ,000411,英特集团,浙江,医药商业
000415.SZ,000415,渤海租赁,新疆,多元金融
000417.SZ,000417,合百集团,安徽,百货
000419.SZ,000419,通程控股,湖南,百货
000420.SZ,000420,吉林化纤,吉林,化纤
000421.SZ,000421,南京公用,江苏,供气供热
000422.SZ,000422,湖北宜化,湖北,农药化肥
000423.SZ,000423,东阿阿胶,山东,中成药
000425.SZ,000425,徐工机械,江苏,工程机械
000426.SZ,000426,兴业银锡,内蒙,铅锌
000428.SZ,000428,华天酒店,湖南,酒店餐饮
000429.SZ,000429,粤高速A,广东,路桥
000430.SZ,000430,ST张家界,湖南,旅游景点
000488.SZ,000488,ST晨鸣,山东,造纸
000498.SZ,000498,山东路桥,山东,建筑工程
000501.SZ,000501,武商集团,湖北,百货
000503.SZ,000503,国新健康,山东,软件服务
000504.SZ,000504,*ST生物,湖南,医疗保健
000505.SZ,000505,京粮控股,海南,食品
000506.SZ,000506,招金黄金,山东,黄金
000507.SZ,000507,珠海港,广东,新型电力
000509.SZ,000509,华塑控股,四川,元器件
000510.SZ,000510,新金路,四川,化工原料
000513.SZ,000513,丽珠集团,广东,化学制药
000514.SZ,000514,渝开发,重庆,区域地产
000516.SZ,000516,国际医学,陕西,医疗保健
000517.SZ,000517,荣安地产,浙江,区域地产
000518.SZ,000518,*ST四环,江苏,生物制药
000519.SZ,000519,中兵红箭,湖南,专用机械
000520.SZ,000520,凤凰航运,湖北,水运
000521.SZ,000521,长虹美菱,安徽,家用电器
000523.SZ,000523,红棉股份,广东,食品
000524.SZ,000524,岭南控股,广东,旅游服务
000525.SZ,000525,红太阳,江苏,农药化肥
000526.SZ,000526,学大教育,福建,文教休闲
000528.SZ,000528,柳工,广西,工程机械
000529.SZ,000529,广弘控股,广东,食品
000530.SZ,000530,冰山冷热,辽宁,机械基件
000531.SZ,000531,穗恒运A,广东,火力发电
000532.SZ,000532,华金资本,广东,多元金融
000533.SZ,000533,顺钠股份,广东,电气设备
000534.SZ,000534,万泽股份,广东,生物制药
000536.SZ,000536,华映科技,福建,元器件
000537.SZ,000537,中绿电,天津,新型电力
000538.SZ,000538,云南白药,云南,中成药
000539.SZ,000539,粤电力A,广东,火力发电
000541.SZ,000541,佛山照明,广东,家用电器
000543.SZ,000543,皖能电力,安徽,火力发电
000544.SZ,000544,中原环保,河南,环境保护
000545.SZ,000545,金浦钛业,吉林,化工原料
000546.SZ,000546,金圆股份,吉林,环境保护
000547.SZ,000547,航天发展,福建,通信设备
000548.SZ,000548,湖南投资,湖南,路桥
000550.SZ,000550,江铃汽车,江西,汽车整车
000551.SZ,000551,创元科技,江苏,专用机械
000552.SZ,000552,甘肃能化,甘肃,煤炭开采
000553.SZ,000553,安道麦A,湖北,农药化肥
000554.SZ,000554,泰山石油,山东,石油贸易
000555.SZ,000555,神州信息,深圳,软件服务
000557.SZ,000557,西部创业,宁夏,铁路
000558.SZ,000558,天府文旅,四川,旅游景点
000559.SZ,000559,万向钱潮,浙江,汽车配件
000560.SZ,000560,我爱我家,云南,房产服务
000561.SZ,000561,烽火电子,陕西,通信设备
000563.SZ,000563,陕国投A,陕西,多元金融
000564.SZ,000564,供销大集,陕西,百货
000565.SZ,000565,渝三峡A,重庆,染料涂料
000566.SZ,000566,海南海药,海南,化学制药
000567.SZ,000567,海德股份,海南,多元金融
000568.SZ,000568,泸州老窖,四川,白酒
000570.SZ,000570,苏常柴A,江苏,农用机械
000571.SZ,000571,新大洲A,海南,煤炭开采
000572.SZ,000572,海马汽车,海南,汽车整车
000573.SZ,000573,粤宏远A,广东,区域地产
000576.SZ,000576,甘化科工,广东,电气设备
000581.SZ,000581,威孚高科,江苏,汽车配件
000582.SZ,000582,北部湾港,广西,港口
000586.SZ,000586,汇源通信,四川,通信设备
000589.SZ,000589,贵州轮胎,贵州,汽车配件
000590.SZ,000590,启迪药业,湖南,中成药
000591.SZ,000591,太阳能,重庆,新型电力
000592.SZ,000592,平潭发展,福建,林业
000593.SZ,000593,德龙汇能,四川,供气供热
000595.SZ,000595,*ST宝实,宁夏,新型电力
000596.SZ,000596,古井贡酒,安徽,白酒
000597.SZ,000597,东北制药,辽宁,化学制药
000598.SZ,000598,兴蓉环境,四川,水务
000599.SZ,000599,青岛双星,山东,汽车配件
000600.SZ,000600,建投能源,河北,火力发电
000601.SZ,000601,韶能股份,广东,水力发电
000603.SZ,000603,盛达资源,北京,铅锌
000605.SZ,000605,渤海股份,北京,水务
000607.SZ,000607,华媒控股,浙江,广告包装
000608.SZ,000608,*ST阳光,广西,区域地产
000609.SZ,000609,ST中迪,北京,区域地产
000610.SZ,000610,西安旅游,陕西,旅游服务
000612.SZ,000612,焦作万方,河南,铝
000615.SZ,000615,*ST美谷,湖北,医疗保健
000617.SZ,000617,中油资本,新疆,多元金融
000619.SZ,000619,海螺新材,安徽,其他建材
000620.SZ,000620,盈新发展,北京,全国地产
000623.SZ,000623,吉林敖东,吉林,中成药
000625.SZ,000625,长安汽车,重庆,汽车整车
000626.SZ,000626,远大控股,江苏,商贸代理
000627.SZ,000627,*ST天茂,湖北,保险
000628.SZ,000628,高新发展,四川,建筑工程
000629.SZ,000629,钒钛股份,四川,小金属
000630.SZ,000630,铜陵有色,安徽,铜
000631.SZ,000631,顺发恒能,浙江,综合类
000632.SZ,000632,三木集团,福建,综合类
000633.SZ,000633,合金投资,新疆,小金属
000635.SZ,000635,英力特,宁夏,化工原料
000636.SZ,000636,风华高科,广东,元器件
000637.SZ,000637,茂化实华,广东,石油加工
000638.SZ,000638,*ST万方,吉林,农业综合
000639.SZ,000639,西王食品,山东,食品
000650.SZ,000650,仁和药业,江西,中成药
000651.SZ,000651,格力电器,广东,家用电器
000652.SZ,000652,泰达股份,天津,批发业
000655.SZ,000655,金岭矿业,山东,普钢
000656.SZ,000656,*ST金科,重庆,全国地产
000657.SZ,000657,中钨高新,海南,小金属
000659.SZ,000659,珠海中富,广东,广告包装
000661.SZ,000661,长春高新,吉林,生物制药
000663.SZ,000663,永安林业,福建,林业
000665.SZ,000665,湖北广电,湖北,影视音像
000668.SZ,000668,*ST荣控,山东,房产服务
000669.SZ,000669,ST金鸿,湖南,供气供热
000670.SZ,000670,盈方微,湖北,元器件
000672.SZ,000672,上峰水泥,甘肃,水泥
000676.SZ,000676,智度股份,广东,互联网
000677.SZ,000677,恒天海龙,山东,化纤
000678.SZ,000678,襄阳轴承,湖北,汽车配件
000679.SZ,000679,大连友谊,辽宁,百货
000680.SZ,000680,山推股份,山东,工程机械
000681.SZ,000681,视觉中国,江苏,互联网
000682.SZ,000682,东方电子,山东,电气设备
000683.SZ,000683,博源化工,内蒙,化工原料
000685.SZ,000685,中山公用,广东,水务
000686.SZ,000686,东北证券,吉林,证券
000688.SZ,000688,国城矿业,四川,铅锌
000690.SZ,000690,宝新能源,广东,火力发电
000691.SZ,000691,*ST亚太,甘肃,化工原料
000692.SZ,000692,惠天热电,辽宁,供气供热
000695.SZ,000695,滨海能源,天津,化工原料
000697.SZ,000697,ST炼石,陕西,航空
000698.SZ,000698,沈阳化工,辽宁,石油加工
000700.SZ,000700,模塑科技,江苏,汽车配件
000701.SZ,000701,厦门信达,福建,商贸代理
000702.SZ,000702,正虹科技,湖南,饲料
000703.SZ,000703,恒逸石化,广西,化纤
000705.SZ,000705,浙江震元,浙江,医药商业
000707.SZ,000707,双环科技,湖北,化工原料
000708.SZ,000708,中信特钢,湖北,特种钢
000709.SZ,000709,河钢股份,河北,普钢
000710.SZ,000710,贝瑞基因,四川,医疗保健
000711.SZ,000711,ST京蓝,黑龙江,环境保护
000712.SZ,000712,锦龙股份,广东,证券
000713.SZ,000713,国投丰乐,安徽,种植业
000715.SZ,000715,中兴商业,辽宁,百货
000716.SZ,000716,黑芝麻,广西,食品
000717.SZ,000717,中南股份,广东,普钢
000718.SZ,000718,苏宁环球,吉林,区域地产
000719.SZ,000719,中原传媒,河南,出版业
000720.SZ,000720,新能泰山,山东,电气设备
000721.SZ,000721,西安饮食,陕西,酒店餐饮
000722.SZ,000722,湖南发展,湖南,水力发电
000723.SZ,000723,美锦能源,山西,焦炭加工
000725.SZ,000725,京东方A,北京,元器件
000726.SZ,000726,鲁泰A,山东,纺织
000727.SZ,000727,冠捷科技,江苏,元器件
000728.SZ,000728,国元证券,安徽,证券
000729.SZ,000729,燕京啤酒,北京,啤酒
000731.SZ,000731,四川美丰,四川,农药化肥
000733.SZ,000733,振华科技,贵州,元器件
000735.SZ,000735,罗牛山,海南,农业综合
000736.SZ,000736,*ST中地,重庆,全国地产
000737.SZ,000737,北方铜业,山西,铜
000738.SZ,000738,航发控制,江苏,航空
000739.SZ,000739,普洛药业,浙江,化学制药
000750.SZ,000750,国海证券,广西,证券
000751.SZ,000751,锌业股份,辽宁,铅锌
000752.SZ,000752,ST西发,西藏,啤酒
000753.SZ,000753,漳州发展,福建,综合类
000755.SZ,000755,山西高速,山西,路桥
000756.SZ,000756,新华制药,山东,化学制药
000757.SZ,000757,浩物股份,四川,汽车服务
000758.SZ,000758,中色股份,北京,铅锌
000759.SZ,000759,中百集团,湖北,超市连锁
000761.SZ,000761,本钢板材,辽宁,普钢
000762.SZ,000762,西藏矿业,西藏,小金属
000766.SZ,000766,通化金马,吉林,化学制药
000767.SZ,000767,晋控电力,山西,火力发电
000768.SZ,000768,中航西飞,陕西,航空
000776.SZ,000776,广发证券,广东,证券
000777.SZ,000777,中核科技,江苏,机械基件
000778.SZ,000778,新兴铸管,河北,钢加工
000779.SZ,000779,甘咨询,甘肃,建筑工程
000782.SZ,000782,恒申新材,广东,化纤
000783.SZ,000783,长江证券,湖北,证券
000785.SZ,000785,居然智家,湖北,百货
000786.SZ,000786,北新建材,北京,其他建材
000788.SZ,000788,北大医药,重庆,化学制药
000789.SZ,000789,万年青,江西,水泥
000790.SZ,000790,华神科技,四川,中成药
000791.SZ,000791,甘肃能源,甘肃,水力发电
000792.SZ,000792,盐湖股份,青海,农药化肥
000793.SZ,000793,ST华闻,海南,出版业
000795.SZ,000795,英洛华,浙江,矿物制品
000796.SZ,000796,凯撒旅业,海南,旅游服务
000797.SZ,000797,中国武夷,福建,全国地产
000798.SZ,000798,中水渔业,北京,渔业
000799.SZ,000799,酒鬼酒,湖南,白酒
000800.SZ,000800,一汽解放,吉林,汽车整车
000801.SZ,000801,四川九洲,四川,家用电器
000802.SZ,000802,北京文化,北京,影视音像
000803.SZ,000803,山高环能,四川,环境保护
000807.SZ,000807,云铝股份,云南,铝
000809.SZ,000809,和展能源,辽宁,区域地产
000810.SZ,000810,创维数字,四川,家用电器
000811.SZ,000811,冰轮环境,山东,工程机械
000812.SZ,000812,陕西金叶,陕西,广告包装
000813.SZ,000813,德展健康,新疆,化学制药
000815.SZ,000815,美利云,宁夏,通信设备
000816.SZ,000816,智慧农业,江苏,农用机械
000818.SZ,000818,航锦科技,辽宁,化工原料
000819.SZ,000819,岳阳兴长,湖南,石油加工
000820.SZ,000820,*ST节能,江西,综合类
000821.SZ,000821,京山轻机,湖北,电气设备
000822.SZ,000822,山东海化,山东,化工原料
000823.SZ,000823,超声电子,广东,元器件
000825.SZ,000825,太钢不锈,山西,特种钢
000826.SZ,000826,启迪环境,湖北,环境保护
000828.SZ,000828,东莞控股,广东,路桥
000829.SZ,000829,天音控股,江西,其他商业
000830.SZ,000830,鲁西化工,山东,化工原料
000831.SZ,000831,中国稀土,江西,小金属
000833.SZ,000833,粤桂股份,广西,综合类
000837.SZ,000837,秦川机床,陕西,机床制造
000838.SZ,000838,财信发展,重庆,区域地产
000839.SZ,000839,国安股份,北京,综合类
000848.SZ,000848,承德露露,河北,软饮料
000850.SZ,000850,华茂股份,安徽,纺织
000851.SZ,000851,*ST高鸿,贵州,通信设备
000852.SZ,000852,石化机械,湖北,化工机械
000856.SZ,000856,冀东装备,河北,专用机械
000858.SZ,000858,五粮液,四川,白酒
000859.SZ,000859,国风新材,安徽,塑料
000860.SZ,000860,顺鑫农业,北京,白酒
000862.SZ,000862,银星能源,宁夏,新型电力
000863.SZ,000863,三湘印象,上海,区域地产
000868.SZ,000868,安凯客车,安徽,汽车整车
000869.SZ,000869,张裕A,山东,红黄酒
000875.SZ,000875,吉电股份,吉林,火力发电
000876.SZ,000876,新希望,四川,饲料
000877.SZ,000877,天山股份,新疆,水泥
000878.SZ,000878,云南铜业,云南,铜
000880.SZ,000880,潍柴重机,山东,专用机械
000881.SZ,000881,中广核技,辽宁,化工原料
000882.SZ,000882,华联股份,北京,其他商业
000883.SZ,000883,湖北能源,湖北,水力发电
000885.SZ,000885,城发环境,河南,环境保护
000886.SZ,000886,海南高速,海南,区域地产
000887.SZ,000887,中鼎股份,安徽,汽车配件
000888.SZ,000888,峨眉山A,四川,旅游景点
000889.SZ,000889,中嘉博创,河北,通信设备
000890.SZ,000890,法尔胜,江苏,环境保护
000892.SZ,000892,欢瑞世纪,重庆,影视音像
000893.SZ,000893,亚钾国际,广东,农药化肥
000895.SZ,000895,双汇发展,河南,食品
000897.SZ,000897,津滨发展,天津,区域地产
000898.SZ,000898,鞍钢股份,辽宁,普钢
000899.SZ,000899,赣能股份,江西,火力发电
000900.SZ,000900,现代投资,湖南,路桥
000901.SZ,000901,航天科技,黑龙江,汽车配件
000902.SZ,000902,新洋丰,湖北,农药化肥
000903.SZ,000903,ST云动,云南,汽车配件
000905.SZ,000905,厦门港务,福建,港口
000906.SZ,000906,浙商中拓,浙江,仓储物流
000908.SZ,000908,ST景峰,湖南,化学制药
000909.SZ,000909,ST数源,浙江,区域地产
000910.SZ,000910,大亚圣象,江苏,家居用品
000911.SZ,000911,广农糖业,广西,食品
000912.SZ,000912,泸天化,四川,农药化肥
000913.SZ,000913,钱江摩托,浙江,摩托车
000915.SZ,000915,华特达因,山东,化学制药
000917.SZ,000917,电广传媒,湖南,广告包装
000919.SZ,000919,金陵药业,江苏,化学制药
000920.SZ,000920,沃顿科技,贵州,塑料
000921.SZ,000921,海信家电,广东,家用电器
000922.SZ,000922,佳电股份,黑龙江,电气设备
000923.SZ,000923,河钢资源,河北,普钢
000925.SZ,000925,众合科技,浙江,运输设备
000926.SZ,000926,福星股份,湖北,区域地产
000927.SZ,000927,中国铁物,天津,仓储物流
000928.SZ,000928,中钢国际,吉林,建筑工程
000929.SZ,000929,*ST兰黄,甘肃,啤酒
000930.SZ,000930,中粮科技,安徽,农业综合
000931.SZ,000931,中关村,北京,化学制药
000932.SZ,000932,华菱钢铁,湖南,普钢
000933.SZ,000933,神火股份,河南,铝
000935.SZ,000935,四川双马,四川,水泥
000936.SZ,000936,华西股份,江苏,化纤
000937.SZ,000937,冀中能源,河北,煤炭开采
000938.SZ,000938,紫光股份,北京,IT设备
000948.SZ,000948,南天信息,云南,软件服务
000949.SZ,000949,新乡化纤,河南,化纤
000950.SZ,000950,重药控股,重庆,医药商业
000951.SZ,000951,中国重汽,山东,汽车整车
000952.SZ,000952,广济药业,湖北,化学制药
000953.SZ,000953,河化股份,广西,化学制药
000955.SZ,000955,欣龙控股,海南,纺织
000957.SZ,000957,中通客车,山东,汽车整车
000958.SZ,000958,电投产融,河北,多元金融
000959.SZ,000959,首钢股份,北京,普钢
000960.SZ,000960,锡业股份,云南,小金属
000962.SZ,000962,东方钽业,宁夏,小金属
000963.SZ,000963,华东医药,浙江,化学制药
000965.SZ,000965,天保基建,天津,区域地产
000966.SZ,000966,长源电力,湖北,火力发电
000967.SZ,000967,盈峰环境,浙江,环境保护
000968.SZ,000968,蓝焰控股,山西,石油开采
000969.SZ,000969,安泰科技,北京,小金属
000970.SZ,000970,中科三环,北京,矿物制品
000972.SZ,000972,*ST中基,新疆,食品
000973.SZ,000973,佛塑科技,广东,塑料
000975.SZ,000975,山金国际,内蒙,黄金
000977.SZ,000977,浪潮信息,山东,IT设备
000978.SZ,000978,桂林旅游,广西,旅游景点
000980.SZ,000980,众泰汽车,浙江,汽车配件
000981.SZ,000981,山子高科,甘肃,汽车配件
000983.SZ,000983,山西焦煤,山西,煤炭开采
000985.SZ,000985,大庆华科,黑龙江,化工原料
000987.SZ,000987,越秀资本,广东,多元金融
000988.SZ,000988,华工科技,湖北,专用机械
000989.SZ,000989,九芝堂,湖南,中成药
000990.SZ,000990,诚志股份,江西,化工原料
000993.SZ,000993,闽东电力,福建,水力发电
000995.SZ,000995,皇台酒业,甘肃,白酒
000997.SZ,000997,新大陆,福建,IT设备
000998.SZ,000998,隆平高科,湖南,种植业
000999.SZ,000999,华润三九,深圳,中成药
001201.SZ,001201,东瑞股份,广东,农业综合
001202.SZ,001202,炬申股份,广东,仓储物流
001203.SZ,001203,大中矿业,内蒙,普钢
001205.SZ,001205,盛航股份,江苏,水运
001206.SZ,001206,依依股份,天津,造纸
001207.SZ,001207,联科科技,山东,化工原料
001208.SZ,001208,华菱线缆,湖南,电气设备
001209.SZ,001209,洪兴股份,广东,服饰
001210.SZ,001210,金房能源,北京,供气供热
001211.SZ,001211,双枪科技,浙江,家居用品
001212.SZ,001212,中旗新材,广东,其他建材
001213.SZ,001213,中铁特货,北京,铁路
001215.SZ,001215,千味央厨,河南,食品
001216.SZ,001216,华瓷股份,湖南,家居用品
001217.SZ,001217,华尔泰,安徽,化工原料
001218.SZ,001218,丽臣实业,湖南,化工原料
001219.SZ,001219,青岛食品,山东,食品
001221.SZ,001221,悍高集团,广东,家居用品
001222.SZ,001222,源飞宠物,浙江,文教休闲
001223.SZ,001223,欧克科技,江西,专用机械
001225.SZ,001225,和泰机电,浙江,专用机械
001226.SZ,001226,拓山重工,安徽,工程机械
001227.SZ,001227,兰州银行,甘肃,银行
001228.SZ,001228,永泰运,浙江,仓储物流
001229.SZ,001229,魅视科技,广东,IT设备
001230.SZ,001230,劲旅环境,安徽,环境保护
001231.SZ,001231,农心科技,陕西,农药化肥
001234.SZ,001234,泰慕士,江苏,服饰
001236.SZ,001236,弘业期货,江苏,多元金融
001238.SZ,001238,浙江正特,浙江,家居用品
001239.SZ,001239,永达股份,湖南,工程机械
001255.SZ,001255,博菲电气,浙江,电气设备
001256.SZ,001256,炜冈科技,浙江,轻工机械
001258.SZ,001258,立新能源,新疆,新型电力
001259.SZ,001259,利仁科技,北京,家用电器
001260.SZ,001260,坤泰股份,山东,汽车配件
001266.SZ,001266,宏英智能,上海,电器仪表
001267.SZ,001267,汇绿生态,湖北,建筑工程
001268.SZ,001268,联合精密,广东,机械基件
001269.SZ,001269,欧晶科技,内蒙,矿物制品
001270.SZ,001270,*ST铖昌,浙江,半导体
001277.SZ,001277,速达股份,河南,专用机械
001278.SZ,001278,一彬科技,浙江,汽车配件
001279.SZ,001279,强邦新材,安徽,广告包装
001282.SZ,001282,三联锻造,安徽,汽车配件
001283.SZ,001283,豪鹏科技,深圳,电气设备
001286.SZ,001286,陕西能源,陕西,火力发电
001287.SZ,001287,中电港,深圳,元器件
001288.SZ,001288,运机集团,四川,专用机械
001289.SZ,001289,龙源电力,北京,新型电力
001296.SZ,001296,长江材料,重庆,其他建材
001298.SZ,001298,好上好,深圳,元器件
001299.SZ,001299,美能能源,陕西,供气供热
001300.SZ,001300,三柏硕,山东,文教休闲
001301.SZ,001301,尚太科技,河北,电气设备
001306.SZ,001306,夏厦精密,浙江,机械基件
001308.SZ,001308,康冠科技,深圳,元器件
001309.SZ,001309,德明利,深圳,半导体
001311.SZ,001311,多利科技,安徽,汽车配件
001313.SZ,001313,粤海饲料,广东,饲料
001314.SZ,001314,亿道信息,深圳,元器件
001316.SZ,001316,润贝航科,深圳,批发业
001317.SZ,001317,三羊马,重庆,铁路
001318.SZ,001318,阳光乳业,江西,乳制品
001319.SZ,001319,铭科精技,广东,汽车配件
001322.SZ,001322,箭牌家居,广东,家居用品
001323.SZ,001323,慕思股份,广东,家居用品
001324.SZ,001324,长青科技,江苏,运输设备
001326.SZ,001326,联域股份,深圳,电气设备
001328.SZ,001328,登康口腔,重庆,日用化工
001330.SZ,001330,博纳影业,新疆,影视音像
001331.SZ,001331,胜通能源,山东,供气供热
001332.SZ,001332,锡装股份,江苏,专用机械
001333.SZ,001333,光华股份,浙江,化工原料
001335.SZ,001335,信凯科技,浙江,化工原料
001336.SZ,001336,楚环科技,浙江,专用机械
001337.SZ,001337,四川黄金,四川,黄金
001338.SZ,001338,永顺泰,广东,啤酒
001339.SZ,001339,智微智能,深圳,IT设备
001356.SZ,001356,富岭股份,浙江,塑料
001358.SZ,001358,兴欣新材,浙江,化工原料
001359.SZ,001359,平安电工,湖北,矿物制品
001360.SZ,001360,南矿集团,江西,工程机械
001366.SZ,001366,播恩集团,江西,饲料
001367.SZ,001367,海森药业,浙江,化学制药
001368.SZ,001368,通达创智,福建,文教休闲
001373.SZ,001373,翔腾新材,江苏,元器件
001376.SZ,001376,百通能源,江西,供气供热
001378.SZ,001378,德冠新材,广东,塑料
001379.SZ,001379,腾达科技,山东,机械基件
001380.SZ,001380,华纬科技,浙江,汽车配件
001382.SZ,001382,新亚电缆,广东,电气设备
001387.SZ,001387,雪祺电气,安徽,家用电器
001388.SZ,001388,信通电子,山东,电气设备
001389.SZ,001389,广合科技,广东,元器件
001390.SZ,001390,古麒绒材,安徽,纺织
001391.SZ,001391,国货航,北京,仓储物流
001395.SZ,001395,亚联机械,吉林,专用机械
001400.SZ,001400,江顺科技,江苏,专用机械
001696.SZ,001696,宗申动力,重庆,摩托车
001872.SZ,001872,招商港口,深圳,港口
001896.SZ,001896,豫能控股,河南,火力发电
001914.SZ,001914,招商积余,深圳,房产服务
001965.SZ,001965,招商公路,天津,路桥
001979.SZ,001979,招商蛇口,深圳,全国地产
002001.SZ,002001,新和成,浙江,化学制药
002003.SZ,002003,伟星股份,浙江,服饰
002004.SZ,002004,华邦健康,重庆,农药化肥
002005.SZ,002005,ST德豪,安徽,家用电器
002006.SZ,002006,精工科技,浙江,专用机械
002007.SZ,002007,华兰生物,河南,生物制药
002008.SZ,002008,大族激光,深圳,专用机械
002009.SZ,002009,天奇股份,江苏,工程机械
002010.SZ,002010,传化智联,浙江,仓储物流
002011.SZ,002011,盾安环境,浙江,家用电器
002012.SZ,002012,凯恩股份,浙江,造纸
002014.SZ,002014,永新股份,安徽,塑料
002015.SZ,002015,协鑫能科,江苏,新型电力
002016.SZ,002016,世荣兆业,广东,区域地产
002017.SZ,002017,东信和平,广东,通信设备
002019.SZ,002019,亿帆医药,浙江,化学制药
002020.SZ,002020,京新药业,浙江,化学制药
002021.SZ,002021,中捷资源,浙江,纺织机械
002022.SZ,002022,科华生物,上海,医疗保健
002023.SZ,002023,海特高新,四川,航空
002024.SZ,002024,ST易购,江苏,电器连锁
002025.SZ,002025,航天电器,贵州,元器件
002026.SZ,002026,山东威达,山东,机械基件
002027.SZ,002027,分众传媒,上海,广告包装
002028.SZ,002028,思源电气,上海,电气设备
002029.SZ,002029,七匹狼,福建,服饰
002030.SZ,002030,达安基因,广东,医疗保健
002031.SZ,002031,巨轮智能,广东,汽车配件
002032.SZ,002032,苏泊尔,浙江,家用电器
002033.SZ,002033,丽江股份,云南,旅游景点
002034.SZ,002034,旺能环境,浙江,环境保护
002035.SZ,002035,华帝股份,广东,家用电器
002036.SZ,002036,联创电子,江西,元器件
002037.SZ,002037,保利联合,贵州,化工原料
002038.SZ,002038,双鹭药业,北京,生物制药
002039.SZ,002039,黔源电力,贵州,水力发电
002040.SZ,002040,南京港,江苏,港口
002041.SZ,002041,登海种业,山东,种植业
002042.SZ,002042,华孚时尚,安徽,纺织
002043.SZ,002043,兔宝宝,浙江,其他建材
002044.SZ,002044,美年健康,浙江,医疗保健
002045.SZ,002045,国光电器,广东,元器件
002046.SZ,002046,国机精工,河南,机械基件
002047.SZ,002047,*ST宝鹰,深圳,装修装饰
002048.SZ,002048,宁波华翔,浙江,汽车配件
002049.SZ,002049,紫光国微,河北,半导体
002050.SZ,002050,三花智控,浙江,家用电器
002051.SZ,002051,中工国际,北京,建筑工程
002052.SZ,002052,同洲电子,深圳,家用电器
002053.SZ,002053,云南能投,云南,食品
002054.SZ,002054,德美化工,广东,染料涂料
002055.SZ,002055,得润电子,深圳,元器件
002056.SZ,002056,横店东磁,浙江,电气设备
002057.SZ,002057,中钢天源,安徽,矿物制品
